name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,films,species,vehicles,starships,created,edited,url,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,residents,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,MGLT,starship_class,pilots
Luke Skywalker,172,77,blond,fair,blue,19BBY,male,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/']",[],"['https://swapi.dev/api/vehicles/14/', 'https://swapi.dev/api/vehicles/30/']","['https://swapi.dev/api/starships/12/', 'https://swapi.dev/api/starships/22/']",2014-12-09T13:50:51.644000Z,2014-12-20T21:17:56.891000Z,https://swapi.dev/api/people/1/,,,,,,,,,,,,,,,,,,,,,,
C-3PO,167,75,n/a,gold,yellow,112BBY,n/a,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/2/'],[],[],2014-12-10T15:10:51.357000Z,2014-12-20T21:17:50.309000Z,https://swapi.dev/api/people/2/,,,,,,,,,,,,,,,,,,,,,,
R2-D2,96,32,n/a,"white, blue",red,33BBY,n/a,https://swapi.dev/api/planets/8/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/2/'],[],[],2014-12-10T15:11:50.376000Z,2014-12-20T21:17:50.311000Z,https://swapi.dev/api/people/3/,,,,,,,,,,,,,,,,,,,,,,
Darth Vader,202,136,none,white,yellow,41.9BBY,male,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/']",[],[],['https://swapi.dev/api/starships/13/'],2014-12-10T15:18:20.704000Z,2014-12-20T21:17:50.313000Z,https://swapi.dev/api/people/4/,,,,,,,,,,,,,,,,,,,,,,
Leia Organa,150,49,brown,light,brown,19BBY,female,https://swapi.dev/api/planets/2/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/']",[],['https://swapi.dev/api/vehicles/30/'],[],2014-12-10T15:20:09.791000Z,2014-12-20T21:17:50.315000Z,https://swapi.dev/api/people/5/,,,,,,,,,,,,,,,,,,,,,,
Owen Lars,178,120,"brown, grey",light,blue,52BBY,male,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-10T15:52:14.024000Z,2014-12-20T21:17:50.317000Z,https://swapi.dev/api/people/6/,,,,,,,,,,,,,,,,,,,,,,
Beru Whitesun lars,165,75,brown,light,blue,47BBY,female,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-10T15:53:41.121000Z,2014-12-20T21:17:50.319000Z,https://swapi.dev/api/people/7/,,,,,,,,,,,,,,,,,,,,,,
R5-D4,97,32,n/a,"white, red",red,unknown,n/a,https://swapi.dev/api/planets/1/,['https://swapi.dev/api/films/1/'],['https://swapi.dev/api/species/2/'],[],[],2014-12-10T15:57:50.959000Z,2014-12-20T21:17:50.321000Z,https://swapi.dev/api/people/8/,,,,,,,,,,,,,,,,,,,,,,
Biggs Darklighter,183,84,black,light,brown,24BBY,male,https://swapi.dev/api/planets/1/,['https://swapi.dev/api/films/1/'],[],[],['https://swapi.dev/api/starships/12/'],2014-12-10T15:59:50.509000Z,2014-12-20T21:17:50.323000Z,https://swapi.dev/api/people/9/,,,,,,,,,,,,,,,,,,,,,,
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57BBY,male,https://swapi.dev/api/planets/20/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],['https://swapi.dev/api/vehicles/38/'],"['https://swapi.dev/api/starships/48/', 'https://swapi.dev/api/starships/59/', 'https://swapi.dev/api/starships/64/', 'https://swapi.dev/api/starships/65/', 'https://swapi.dev/api/starships/74/']",2014-12-10T16:16:29.192000Z,2014-12-20T21:17:50.325000Z,https://swapi.dev/api/people/10/,,,,,,,,,,,,,,,,,,,,,,
Anakin Skywalker,188,84,blond,fair,blue,41.9BBY,male,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],"['https://swapi.dev/api/vehicles/44/', 'https://swapi.dev/api/vehicles/46/']","['https://swapi.dev/api/starships/39/', 'https://swapi.dev/api/starships/59/', 'https://swapi.dev/api/starships/65/']",2014-12-10T16:20:44.310000Z,2014-12-20T21:17:50.327000Z,https://swapi.dev/api/people/11/,,,,,,,,,,,,,,,,,,,,,,
Wilhuff Tarkin,180,unknown,"auburn, grey",fair,blue,64BBY,male,https://swapi.dev/api/planets/21/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-10T16:26:56.138000Z,2014-12-20T21:17:50.330000Z,https://swapi.dev/api/people/12/,,,,,,,,,,,,,,,,,,,,,,
Chewbacca,228,112,brown,unknown,blue,200BBY,male,https://swapi.dev/api/planets/14/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/3/'],['https://swapi.dev/api/vehicles/19/'],"['https://swapi.dev/api/starships/10/', 'https://swapi.dev/api/starships/22/']",2014-12-10T16:42:45.066000Z,2014-12-20T21:17:50.332000Z,https://swapi.dev/api/people/13/,,,,,,,,,,,,,,,,,,,,,,
Han Solo,180,80,brown,fair,brown,29BBY,male,https://swapi.dev/api/planets/22/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/']",[],[],"['https://swapi.dev/api/starships/10/', 'https://swapi.dev/api/starships/22/']",2014-12-10T16:49:14.582000Z,2014-12-20T21:17:50.334000Z,https://swapi.dev/api/people/14/,,,,,,,,,,,,,,,,,,,,,,
Greedo,173,74,n/a,green,black,44BBY,male,https://swapi.dev/api/planets/23/,['https://swapi.dev/api/films/1/'],['https://swapi.dev/api/species/4/'],[],[],2014-12-10T17:03:30.334000Z,2014-12-20T21:17:50.336000Z,https://swapi.dev/api/people/15/,,,,,,,,,,,,,,,,,,,,,,
Jabba Desilijic Tiure,175,"1,358",n/a,"green-tan, brown",orange,600BBY,hermaphrodite,https://swapi.dev/api/planets/24/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/']",['https://swapi.dev/api/species/5/'],[],[],2014-12-10T17:11:31.638000Z,2014-12-20T21:17:50.338000Z,https://swapi.dev/api/people/16/,,,,,,,,,,,,,,,,,,,,,,
Wedge Antilles,170,77,brown,fair,hazel,21BBY,male,https://swapi.dev/api/planets/22/,"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/']",[],['https://swapi.dev/api/vehicles/14/'],['https://swapi.dev/api/starships/12/'],2014-12-12T11:08:06.469000Z,2014-12-20T21:17:50.341000Z,https://swapi.dev/api/people/18/,,,,,,,,,,,,,,,,,,,,,,
Jek Tono Porkins,180,110,brown,fair,blue,unknown,male,https://swapi.dev/api/planets/26/,['https://swapi.dev/api/films/1/'],[],[],['https://swapi.dev/api/starships/12/'],2014-12-12T11:16:56.569000Z,2014-12-20T21:17:50.343000Z,https://swapi.dev/api/people/19/,,,,,,,,,,,,,,,,,,,,,,
Yoda,66,17,white,green,brown,896BBY,male,https://swapi.dev/api/planets/28/,"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/6/'],[],[],2014-12-15T12:26:01.042000Z,2014-12-20T21:17:50.345000Z,https://swapi.dev/api/people/20/,,,,,,,,,,,,,,,,,,,,,,
Palpatine,170,75,grey,pale,yellow,82BBY,male,https://swapi.dev/api/planets/8/,"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-15T12:48:05.971000Z,2014-12-20T21:17:50.347000Z,https://swapi.dev/api/people/21/,,,,,,,,,,,,,,,,,,,,,,
Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,https://swapi.dev/api/planets/10/,"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/5/']",[],[],['https://swapi.dev/api/starships/21/'],2014-12-15T12:49:32.457000Z,2014-12-20T21:17:50.349000Z,https://swapi.dev/api/people/22/,,,,,,,,,,,,,,,,,,,,,,
IG-88,200,140,none,metal,red,15BBY,none,https://swapi.dev/api/planets/28/,['https://swapi.dev/api/films/2/'],['https://swapi.dev/api/species/2/'],[],[],2014-12-15T12:51:10.076000Z,2014-12-20T21:17:50.351000Z,https://swapi.dev/api/people/23/,,,,,,,,,,,,,,,,,,,,,,
Bossk,190,113,none,green,red,53BBY,male,https://swapi.dev/api/planets/29/,['https://swapi.dev/api/films/2/'],['https://swapi.dev/api/species/7/'],[],[],2014-12-15T12:53:49.297000Z,2014-12-20T21:17:50.355000Z,https://swapi.dev/api/people/24/,,,,,,,,,,,,,,,,,,,,,,
Lando Calrissian,177,79,black,dark,brown,31BBY,male,https://swapi.dev/api/planets/30/,"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/']",[],[],['https://swapi.dev/api/starships/10/'],2014-12-15T12:56:32.683000Z,2014-12-20T21:17:50.357000Z,https://swapi.dev/api/people/25/,,,,,,,,,,,,,,,,,,,,,,
Lobot,175,79,none,light,blue,37BBY,male,https://swapi.dev/api/planets/6/,['https://swapi.dev/api/films/2/'],[],[],[],2014-12-15T13:01:57.178000Z,2014-12-20T21:17:50.359000Z,https://swapi.dev/api/people/26/,,,,,,,,,,,,,,,,,,,,,,
Ackbar,180,83,none,brown mottle,orange,41BBY,male,https://swapi.dev/api/planets/31/,['https://swapi.dev/api/films/3/'],['https://swapi.dev/api/species/8/'],[],[],2014-12-18T11:07:50.584000Z,2014-12-20T21:17:50.362000Z,https://swapi.dev/api/people/27/,,,,,,,,,,,,,,,,,,,,,,
Mon Mothma,150,unknown,auburn,fair,blue,48BBY,female,https://swapi.dev/api/planets/32/,['https://swapi.dev/api/films/3/'],[],[],[],2014-12-18T11:12:38.895000Z,2014-12-20T21:17:50.364000Z,https://swapi.dev/api/people/28/,,,,,,,,,,,,,,,,,,,,,,
Arvel Crynyd,unknown,unknown,brown,fair,brown,unknown,male,https://swapi.dev/api/planets/28/,['https://swapi.dev/api/films/3/'],[],[],['https://swapi.dev/api/starships/28/'],2014-12-18T11:16:33.020000Z,2014-12-20T21:17:50.367000Z,https://swapi.dev/api/people/29/,,,,,,,,,,,,,,,,,,,,,,
Wicket Systri Warrick,88,20,brown,brown,brown,8BBY,male,https://swapi.dev/api/planets/7/,['https://swapi.dev/api/films/3/'],['https://swapi.dev/api/species/9/'],[],[],2014-12-18T11:21:58.954000Z,2014-12-20T21:17:50.369000Z,https://swapi.dev/api/people/30/,,,,,,,,,,,,,,,,,,,,,,
Nien Nunb,160,68,none,grey,black,unknown,male,https://swapi.dev/api/planets/33/,['https://swapi.dev/api/films/3/'],['https://swapi.dev/api/species/10/'],[],['https://swapi.dev/api/starships/10/'],2014-12-18T11:26:18.541000Z,2014-12-20T21:17:50.371000Z,https://swapi.dev/api/people/31/,,,,,,,,,,,,,,,,,,,,,,
Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,https://swapi.dev/api/planets/28/,['https://swapi.dev/api/films/4/'],[],['https://swapi.dev/api/vehicles/38/'],[],2014-12-19T16:54:53.618000Z,2014-12-20T21:17:50.375000Z,https://swapi.dev/api/people/32/,,,,,,,,,,,,,,,,,,,,,,
Nute Gunray,191,90,none,mottled green,red,unknown,male,https://swapi.dev/api/planets/18/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/11/'],[],[],2014-12-19T17:05:57.357000Z,2014-12-20T21:17:50.377000Z,https://swapi.dev/api/people/33/,,,,,,,,,,,,,,,,,,,,,,
Finis Valorum,170,unknown,blond,fair,blue,91BBY,male,https://swapi.dev/api/planets/9/,['https://swapi.dev/api/films/4/'],[],[],[],2014-12-19T17:21:45.915000Z,2014-12-20T21:17:50.379000Z,https://swapi.dev/api/people/34/,,,,,,,,,,,,,,,,,,,,,,
Padmé Amidala,185,45,brown,light,brown,46BBY,female,https://swapi.dev/api/planets/8/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],"['https://swapi.dev/api/starships/39/', 'https://swapi.dev/api/starships/49/', 'https://swapi.dev/api/starships/64/']",2014-12-19T17:28:26.926000Z,2014-12-20T21:17:50.381000Z,https://swapi.dev/api/people/35/,,,,,,,,,,,,,,,,,,,,,,
Jar Jar Binks,196,66,none,orange,orange,52BBY,male,https://swapi.dev/api/planets/8/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",['https://swapi.dev/api/species/12/'],[],[],2014-12-19T17:29:32.489000Z,2014-12-20T21:17:50.383000Z,https://swapi.dev/api/people/36/,,,,,,,,,,,,,,,,,,,,,,
Roos Tarpals,224,82,none,grey,orange,unknown,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/12/'],[],[],2014-12-19T17:32:56.741000Z,2014-12-20T21:17:50.385000Z,https://swapi.dev/api/people/37/,,,,,,,,,,,,,,,,,,,,,,
Rugor Nass,206,unknown,none,green,orange,unknown,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/12/'],[],[],2014-12-19T17:33:38.909000Z,2014-12-20T21:17:50.388000Z,https://swapi.dev/api/people/38/,,,,,,,,,,,,,,,,,,,,,,
Ric Olié,183,unknown,brown,fair,blue,unknown,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/4/'],[],[],['https://swapi.dev/api/starships/40/'],2014-12-19T17:45:01.522000Z,2014-12-20T21:17:50.392000Z,https://swapi.dev/api/people/39/,,,,,,,,,,,,,,,,,,,,,,
Watto,137,unknown,black,"blue, grey",yellow,unknown,male,https://swapi.dev/api/planets/34/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",['https://swapi.dev/api/species/13/'],[],[],2014-12-19T17:48:54.647000Z,2014-12-20T21:17:50.395000Z,https://swapi.dev/api/people/40/,,,,,,,,,,,,,,,,,,,,,,
Sebulba,112,40,none,"grey, red",orange,unknown,male,https://swapi.dev/api/planets/35/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/14/'],[],[],2014-12-19T17:53:02.586000Z,2014-12-20T21:17:50.397000Z,https://swapi.dev/api/people/41/,,,,,,,,,,,,,,,,,,,,,,
Quarsh Panaka,183,unknown,black,dark,brown,62BBY,male,https://swapi.dev/api/planets/8/,['https://swapi.dev/api/films/4/'],[],[],[],2014-12-19T17:55:43.348000Z,2014-12-20T21:17:50.399000Z,https://swapi.dev/api/people/42/,,,,,,,,,,,,,,,,,,,,,,
Shmi Skywalker,163,unknown,black,fair,brown,72BBY,female,https://swapi.dev/api/planets/1/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",[],[],[],2014-12-19T17:57:41.191000Z,2014-12-20T21:17:50.401000Z,https://swapi.dev/api/people/43/,,,,,,,,,,,,,,,,,,,,,,
Darth Maul,175,80,none,red,yellow,54BBY,male,https://swapi.dev/api/planets/36/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/22/'],['https://swapi.dev/api/vehicles/42/'],['https://swapi.dev/api/starships/41/'],2014-12-19T18:00:41.929000Z,2014-12-20T21:17:50.403000Z,https://swapi.dev/api/people/44/,,,,,,,,,,,,,,,,,,,,,,
Bib Fortuna,180,unknown,none,pale,pink,unknown,male,https://swapi.dev/api/planets/37/,['https://swapi.dev/api/films/3/'],['https://swapi.dev/api/species/15/'],[],[],2014-12-20T09:47:02.512000Z,2014-12-20T21:17:50.407000Z,https://swapi.dev/api/people/45/,,,,,,,,,,,,,,,,,,,,,,
Ayla Secura,178,55,none,blue,hazel,48BBY,female,https://swapi.dev/api/planets/37/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/15/'],[],[],2014-12-20T09:48:01.172000Z,2014-12-20T21:17:50.409000Z,https://swapi.dev/api/people/46/,,,,,,,,,,,,,,,,,,,,,,
Ratts Tyerel,79,15,none,"grey, blue",unknown,unknown,male,https://swapi.dev/api/planets/38/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/16/'],[],[],2014-12-20T09:53:15.086000Z,2014-12-20T21:17:50.410000Z,https://swapi.dev/api/people/47/,,,,,,,,,,,,,,,,,,,,,,
Dud Bolt,94,45,none,"blue, grey",yellow,unknown,male,https://swapi.dev/api/planets/39/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/17/'],[],[],2014-12-20T09:57:31.858000Z,2014-12-20T21:17:50.414000Z,https://swapi.dev/api/people/48/,,,,,,,,,,,,,,,,,,,,,,
Gasgano,122,unknown,none,"white, blue",black,unknown,male,https://swapi.dev/api/planets/40/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/18/'],[],[],2014-12-20T10:02:12.223000Z,2014-12-20T21:17:50.416000Z,https://swapi.dev/api/people/49/,,,,,,,,,,,,,,,,,,,,,,
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,unknown,male,https://swapi.dev/api/planets/41/,['https://swapi.dev/api/films/4/'],['https://swapi.dev/api/species/19/'],[],[],2014-12-20T10:08:33.777000Z,2014-12-20T21:17:50.417000Z,https://swapi.dev/api/people/50/,,,,,,,,,,,,,,,,,,,,,,
Mace Windu,188,84,none,dark,brown,72BBY,male,https://swapi.dev/api/planets/42/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",[],[],[],2014-12-20T10:12:30.846000Z,2014-12-20T21:17:50.420000Z,https://swapi.dev/api/people/51/,,,,,,,,,,,,,,,,,,,,,,
Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,https://swapi.dev/api/planets/43/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/20/'],[],[],2014-12-20T10:15:32.293000Z,2014-12-20T21:17:50.422000Z,https://swapi.dev/api/people/52/,,,,,,,,,,,,,,,,,,,,,,
Kit Fisto,196,87,none,green,black,unknown,male,https://swapi.dev/api/planets/44/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/21/'],[],[],2014-12-20T10:18:57.202000Z,2014-12-20T21:17:50.424000Z,https://swapi.dev/api/people/53/,,,,,,,,,,,,,,,,,,,,,,
Eeth Koth,171,unknown,black,brown,brown,unknown,male,https://swapi.dev/api/planets/45/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/22/'],[],[],2014-12-20T10:26:47.902000Z,2014-12-20T21:17:50.427000Z,https://swapi.dev/api/people/54/,,,,,,,,,,,,,,,,,,,,,,
Adi Gallia,184,50,none,dark,blue,unknown,female,https://swapi.dev/api/planets/9/,"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",['https://swapi.dev/api/species/23/'],[],[],2014-12-20T10:29:11.661000Z,2014-12-20T21:17:50.432000Z,https://swapi.dev/api/people/55/,,,,,,,,,,,,,,,,,,,,,,
